example,N,lambda,m,x,error,log10_error
6.2,160,20,5,0.963291920680397199,0.267714557850420393,-0.572328011994978251
6.2,160,20,5,0.971841217655792397,0.273010202296680654,-0.563821123221656546
6.2,160,20,5,0.979277357039527386,0.277668347748515472,-0.556473623964637784
6.2,160,20,5,0.985588932389659053,0.281660091737011461,-0.550274683600725299
6.2,160,20,5,0.990766248122838913,0.2849606005808531,-0.545215182564030806
6.2,160,20,5,0.994801341411886739,0.287549297471031831,-0.541287689115906524
6.2,160,20,5,0.997688000185283636,0.289410017101228227,-0.53848644109362484
6.2,160,20,5,0.999421777178751647,0.290531126361628972,-0.536807332179198541
6.2,160,20,5,1.0,0.290905610761230027,-0.536247902337875427
6.2,320,40,10,-1.0,0.00691686007667180926,-2.16009100971151207
6.2,320,40,10,-0.999999999999972021,0.00691287363410968037,-2.16034138185768832
6.2,320,40,10,-0.999999999998209446,0.00690092697682229424,-2.16109256812086978
6.2,320,40,10,-0.999999999979606924,0.00688105805444095081,-2.16234477806161559
6.2,320,40,10,-0.999999999885437654,0.00685332991151551527,-2.16409836123644875
6.2,320,40,10,-0.999999999563074097,0.00681783038159995936,-2.16635380763213407
6.2,320,40,10,-0.999999998695692017,0.00677467166164003435,-2.16911174827545508
6.2,320,40,10,-0.999999996712052755,0.00672398976930757375,-2.17237295602028925
6.2,320,40,10,-0.999999992676485618,0.00666594388664825589,-2.17613834651431179
6.2,320,40,10,-0.999999985159219085,0.00660071559410743264,-2.18040897934820234
6.2,320,40,10,-0.999999972087236216,0.00652850799966680384,-2.18518605939078791
6.2,320,40,10,-0.999999950575856161,0.00644954476845848189,-2.19047093831413477
6.2,320,40,10,-0.999999916741269935,0.00636406905881782,-2.19626511631320293
6.2,320,40,10,-0.999999865494284749,0.00627234237128806045,-2.20257024402530392
6.2,320,40,10,-0.999999790315556932,0.00617464331759453293,-2.20938812465526046
6.2,320,40,10,-0.999999683012619046,0.00607126631706031499,-2.21672071631285709
6.2,320,40,10,-0.99999953345903202,0.00596252022833588104,-2.22457013456990108
6.2,320,40,10,-0.999999329316017956,0.0058487269246596664,-2.23293865524498568
6.2,320,40,10,-0.999999055736953854,0.00573021982115246386,-2.24182871742486912
6.2,320,40,10,-0.999998695055130569,0.0056073423628744204,-2.25124292673225843
6.2,320,40,10,-0.99999822645520509,0.00548044648253786161,-2.26118405885072287
6.2,320,40,10,-0.99999762562879747,0.00534989103687147208,-2.27165506331846504
6.2,320,40,10,-0.999996864414706614,0.00521604023067122762,-2.28265906760375552
6.2,320,40,10,-0.999995910424241443,0.00507926203755111964,-2.29419938147599748
6.2,320,40,10,-0.999994726652185799,0.00493992662632283171,-2.30627950168764139
6.2,320,40,10,-0.9999932710739368,0.0047984048017892936,-2.31890311698352482
6.2,320,40,10,-0.999991496229377061,0.00465506646853408511,-2.33207411345568248
6.2,320,40,10,-0.999989348794061451,0.00451027912602906944,-2.34579658026326693
6.2,320,40,10,-0.999986769138318608,0.00436440640306891152,-2.36007481573895745
6.2,320,40,10,-0.999983690874886439,0.0042178066391761866,-2.37491333390512731
6.2,320,40,10,-0.999980040395719191,0.00407083152020789155,-2.39031687142510719
6.2,320,40,10,-0.999975736398621361,0.00392382477493696112,-2.40629039501714387
6.2,320,40,10,-0.99997068940438076,0.00377712093888480177,-2.42283910936113137
6.2,320,40,10,-0.999964801265089376,0.00363104419114709903,-2.43996846553091189
6.2,320,40,10,-0.999957964664356308,0.00348590726938968333,-2.45768416998793434
6.2,320,40,10,-0.999950062610131977,0.003342010467598703,-2.47599219417535155
6.2,320,40,10,-0.999940967920876958,0.0031996407205545621,-2.49489878475527033
6.2,320,40,10,-0.999930542705822213,0.00305907077836696057,-2.51441047453588263
6.2,320,40,10,-0.99991863784008014,0.00292055847376392496,-2.53453409413964865
6.2,320,40,10,-0.999905092435377725,0.00278434608417597357,-2.55527678446862844
6.2,320,40,10,-0.999889733307194123,0.00265065979000254144,-2.57664601002852832
6.2,320,40,10,-0.99987237443909528,0.00251970922979647002,-2.59864957317911398
6.2,320,40,10,-0.999852816445067608,0.00239168715245861904,-2.62129562938542363
6.2,320,40,10,-0.999830846030661346,0.00226676916590322964,-2.64459270355178677
6.2,320,40,10,-0.999806235453761988,0.00214511358104013065,-2.66854970752912309
6.2,320,40,10,-0.999778741985815055,0.00202686134932659943,-2.69317595889548764
6.2,320,40,10,-0.999748107374335545,0.00191213609157378987,-2.71848120112048556
6.2,320,40,10,-0.999714057307538557,0.00180104421515397335,-2.74447562523616999
6.2,320,40,10,-0.999676300881931877,0.00169367511624895413,-2.77116989315055463
6.2,320,40,10,-0.999634530073714747,0.00159010146331013985,-2.79857516275514486
6.2,320,40,10,-0.999588419214829544,0.00149037955746974332,-2.82670311499518311
6.2,320,40,10,-0.999537624474514741,0.00139454976525296616,-2.85556598309092708
6.2,320,40,10,-0.999481783347208259,0.00130263701859488583,-2.88517658412059953
6.2,320,40,10,-0.999420514147650141,0.00121465137686485692,-2.91554835320109625
6.2,320,40,10,-0.999353415514032456,0.00113058864534686024,-2.94669538053162725
6.2,320,40,10,-0.999280065920042321,0.00105043104441729697,-2.97863245159879942
6.2,320,40,10,-0.999200023196641102,9.74147923502723669e-4,-3.01137509087995032
6.2,320,40,10,-0.999112824064419068,9.01696513789046752e-4,-3.04493960942567385
